HITId,MajorityAnswer,CountAnswerID1,CountAnswerID2,Input1ID,Input2ID,Input3ID,HITTypeId,Kappa
1,0.0,1,1,Q11621,P2142,792910554,7QT,0.1428571428571428
2,1.0,2,0,Q603545,P2142,4300000,7QT,0.1428571428571428
3,0.0,1,1,Q16911843,P577,2014-01-18,7QT,0.1428571428571428
4,2.0,0,2,Q132863,P2142,969023261,7QT,0.1428571428571428
5,1.0,2,0,Q1628022,P577,1951-01-01,7QT,0.1428571428571428
6,0.0,1,1,Q48313910,P577,2018-02-24,7QT,0.1428571428571428
7,1.0,2,0,Q171300,P2142,267000000,7QT,0.1428571428571428
8,2.0,0,2,Q217010,P2142,698491347,7QT,0.1428571428571428
9,2.0,0,2,Q4993462,P577,2008-08-29,7QT,0.1428571428571428
10,0.0,1,1,Q7033842,P577,1996-06-01,7QT,0.1428571428571428
11,0.0,1,1,Q1339195,ddis:indirectSubclassOf,Q27096213,7QT,0.1428571428571428
12,1.0,2,0,Q104649845,ddis:indirectSubclassOf,Q43229,7QT,0.1428571428571428
13,0.0,1,1,Q61928601,ddis:indirectSubclassOf,Q95074,7QT,0.1428571428571428
14,2.0,0,2,Q1004,ddis:indirectSubclassOf,Q47461344,7QT,0.1428571428571428
15,1.0,2,0,Q8275050,ddis:indirectSubclassOf,Q47461344,7QT,0.1428571428571428
16,0.0,1,1,Q17710986,ddis:indirectSubclassOf,Q7725310,7QT,0.1428571428571428
17,2.0,0,2,Q16101952,ddis:indirectSubclassOf,Q95074,7QT,0.1428571428571428
18,1.0,2,0,Q104649845,ddis:indirectSubclassOf,Q43229,7QT,0.1428571428571428
19,2.0,0,2,Q15715406,ddis:indirectSubclassOf,Q27096213,7QT,0.1428571428571428
20,0.0,1,1,Q15239622,ddis:indirectSubclassOf,Q27096213,7QT,0.1428571428571428
21,0.0,1,1,Q708135,ddis:indirectSubclassOf,Q618779,7QT,0.1428571428571428
22,2.0,1,2,Q1720855,P577,2010-10-01,8QT,0.04000000000000009
23,2.0,0,3,Q598752,P577,2001-01-01,8QT,0.04000000000000009
24,2.0,1,2,Q427386,P2142,176997186,8QT,0.04000000000000009
25,1.0,2,1,Q321561,P577,1982-01-01,8QT,0.04000000000000009
26,2.0,0,3,Q1410031,P577,2010-10-01,8QT,0.04000000000000009
27,2.0,1,2,Q20001199,P2142,863756050,8QT,0.04000000000000009
28,1.0,3,0,Q15055043,P2142,511200000,8QT,0.04000000000000009
29,2.0,0,3,Q639070,P161,Q2865083,8QT,0.04000000000000009
30,1.0,3,0,Q23999890,P577,2015-01-05,8QT,0.04000000000000009
31,1.0,2,1,Q841233,P2142,10696220,8QT,0.04000000000000009
32,2.0,1,2,Q2893887,P161,Q105825,8QT,0.04000000000000009
33,1.0,2,1,Q19803136,P577,2015-06-27,8QT,0.04000000000000009
34,2.0,0,3,Q1039395,P161,Q17386547,8QT,0.04000000000000009
35,2.0,1,2,Q202211,P495,Q30,8QT,0.04000000000000009
36,2.0,1,2,Q28974159,P750,Q907311,8QT,0.04000000000000009
37,1.0,2,1,Q326914,P136,Q8261,8QT,0.04000000000000009
38,2.0,1,2,Q885281,P161,Q3087184,8QT,0.04000000000000009
39,1.0,2,1,Q814781,.P344,Q40087803,8QT,0.04000000000000009
40,2.0,1,2,Q6548158,P136,Q33999,8QT,0.04000000000000009
41,2.0,1,2,Q1123629,P725,Q211040,8QT,0.04000000000000009
42,2.0,1,2,Q1780602,P921,Q295093,9QT,0.26339285714285726
43,2.0,0,3,Q610633,P2554,Q1700810,9QT,0.26339285714285726
44,2.0,0,3,Q2188914,P161,Q2416526,9QT,0.26339285714285726
45,2.0,1,2,Q1032889,P58,Q4762311,9QT,0.26339285714285726
46,2.0,0,3,Q209538,P3650,Q28732983,9QT,0.26339285714285726
47,2.0,0,3,Q31202708,P3092,Q4805527,9QT,0.26339285714285726
48,1.0,2,1,Q2576243,P364,Q1860,9QT,0.26339285714285726
49,1.0,2,1,Q4335275,P520,Q52382294,9QT,0.26339285714285726
50,1.0,3,0,Q931557,P750,Q80948336,9QT,0.26339285714285726
51,1.0,3,0,Q2235250,P161,Q599673,9QT,0.26339285714285726
52,1.0,3,0,Q696646,P3174,Q1315917,9QT,0.26339285714285726
53,1.0,3,0,Q6782400,P945,Q17,9QT,0.26339285714285726
54,1.0,2,1,Q6538,P119,Q1792,9QT,0.26339285714285726
55,1.0,2,1,Q9192,P276,Q833,9QT,0.26339285714285726
56,1.0,2,1,Q10623856,P20,Q2096,9QT,0.26339285714285726
57,1.0,2,1,Q223596,P1431,Q457180,9QT,0.26339285714285726
58,2.0,0,3,Q943992,P161,Q160432,9QT,0.26339285714285726
59,1.0,2,1,Q1893555,P272,Q48784114,9QT,0.26339285714285726
60,1.0,2,1,Q21060270,P27,Q916,9QT,0.26339285714285726
61,1.0,2,1,Q1288004,P1412,Q13330,9QT,0.26339285714285726
